ticker,fund_name,fund_theme,strategy_no,触发条件,条件解释,机制
UOPSX,Ultra NASDAQ-100 ProFund Service Class,纳指100,1,VIX>0 且 该基金当日回报<=-2%，买基金第二天,VIX当日变化上升，自身大跌(<=-2%),恐慌/波动率上升，避险情绪占优；基金自身下跌/急跌后存在超跌反弹动量。
UOPSX,Ultra NASDAQ-100 ProFund Service Class,纳指100,2,TIP>0 且 VIX5d<0，买基金第二天,通胀保护国债上涨，VIX近5日变化下降,避险/利率敏感资产走强（黄金、日元、国债等）；恐慌/波动率回落，市场趋于平静。
UOPSX,Ultra NASDAQ-100 ProFund Service Class,纳指100,3,FXY>0 且 TLT>0 且 XLU>0，买基金第二天,日元上涨，长期国债上涨，公用事业上涨,避险/利率敏感资产走强（黄金、日元、国债等）；防御性板块走强，资金寻求低波动。
USPIX,Ultra Short NASDAQ-100 ProFund Investor Shares,反向,1,EEM>0 且 SLV>0 且 XLV>0，买基金第二天,新兴市场上涨，白银上涨，医疗上涨,避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升；防御性板块走强，资金寻求低波动；风险偏好回暖，资金回流权益与信用资产。
USPSX,UltraShort NASDAQ-100 ProFund Service Class,反向,1,EEM>0 且 GLD>0 且 HYG>0，买基金第二天,新兴市场上涨，黄金上涨，高收益债上涨,避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升；风险偏好回暖，资金回流权益与信用资产；信用环境偏宽松，资金愿意承担信用风险。
UTPIX,Utilities UltraSector ProFund， Investor Class,公用事业,1,FXY>0 且 GDX>0 且 XLK<0，买基金第二天,日元上涨，金矿股上涨，科技下跌,避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升；板块轮动偏向价值/金融。
UTPSX,Utilities Ultra Sector ProFund， Service,公用事业,1,FXY>0 且 GDX>0 且 XLK<0，买基金第二天,日元上涨，金矿股上涨，科技下跌,避险/利率敏感资产走强（黄金、日元、国债等）；贵金属走强，避险与抗通胀需求上升；板块轮动偏向价值/金融。
UTPSX,Utilities Ultra Sector ProFund， Service,公用事业,2,GLD>0 且 JNK<0 且 XLU<0，买基金第二天,黄金上涨，高收益债下跌，公用事业下跌,避险资产表现分化；风险偏好收缩，资金撤离高风险资产；信用利差走阔，信用风险上升；贵金属走强，避险与抗通胀需求上升。
UTPSX,Utilities Ultra Sector ProFund， Service,公用事业,3,GDX>0 且 XLK<0 且 XLV<0，买基金后3日平均回报,金矿股上涨，科技下跌，医疗下跌,避险资产表现分化；贵金属走强，避险与抗通胀需求上升；板块轮动偏向价值/金融；防御性板块走弱，资金风险偏好上升。
UUPIX,UltraEmerging Markets ProFund Investor Class,新兴市场,1,SPY<0 且 XLK<0 且 XLV<0，买基金第二天,标普500下跌，科技下跌，医疗下跌,风险偏好收缩，资金撤离高风险资产；板块轮动偏向价值/金融；防御性板块走弱，资金风险偏好上升；避险资产走弱。
UUPIX,UltraEmerging Markets ProFund Investor Class,新兴市场,2,GLD<0 且 TIP>0 且 XLV>0，买基金第二天,黄金下跌，通胀保护国债上涨，医疗上涨,避险资产表现分化；防御性板块走强，资金寻求低波动。
UUPIX,UltraEmerging Markets ProFund Investor Class,新兴市场,3,FXY>0 且 IWM<0 且 TLT>0，买基金第二天,日元上涨，小盘下跌，长期国债上涨,风险偏好收缩，资金撤离高风险资产；避险/利率敏感资产走强（黄金、日元、国债等）。
UUPSX,UltraEmerging Markets ProFund Service Class,新兴市场,1,SPY<0 且 XLK<0 且 XLV<0，买基金第二天,标普500下跌，科技下跌，医疗下跌,风险偏好收缩，资金撤离高风险资产；板块轮动偏向价值/金融；防御性板块走弱，资金风险偏好上升；避险资产走弱。
UUPSX,UltraEmerging Markets ProFund Service Class,新兴市场,2,GLD<0 且 TIP>0 且 XLV>0，买基金第二天,黄金下跌，通胀保护国债上涨，医疗上涨,避险资产表现分化；防御性板块走强，资金寻求低波动。
UUPSX,UltraEmerging Markets ProFund Service Class,新兴市场,3,FXY>0 且 IWM<0 且 TLT>0，买基金第二天,日元上涨，小盘下跌，长期国债上涨,风险偏好收缩，资金撤离高风险资产；避险/利率敏感资产走强（黄金、日元、国债等）。
UVPIX,UltraShort Emerging Markets Investor Class,新兴市场,1,FXY<0 且 IWM>0 且 JNK<0，买基金第二天,日元下跌，小盘上涨，高收益债下跌,风险偏好与防御信号并存，市场分歧加大；信用利差走阔，信用风险上升；避险资产走弱。
UVPIX,UltraShort Emerging Markets Investor Class,新兴市场,2,EEM>0 且 UUP>0 且 XLF<0，买基金后3日平均回报,新兴市场上涨，美元上涨，金融下跌,避险/利率敏感资产走强（黄金、日元、国债等）；风险偏好回暖，资金回流权益与信用资产；美元走强，压制贵金属与新兴市场；板块轮动偏向成长/科技。
UVPIX,UltraShort Emerging Markets Investor Class,新兴市场,3,GLD>0 且 TIP<0 且 XLU>0，买基金后2日平均回报,黄金上涨，通胀保护国债下跌，公用事业上涨,避险资产表现分化；贵金属走强，避险与抗通胀需求上升；防御性板块走强，资金寻求低波动。
UVPSX,UltraShort Emerging Markets Service Class,新兴市场,1,HYG<0 且 QQQ<0 且 SLV<0，买基金后2日平均回报,高收益债下跌，科技成长下跌，白银下跌,风险偏好收缩，资金撤离高风险资产；信用利差走阔，信用风险上升；避险资产走弱。
UWPSX,ProFunds Ultra Short Dow 30 ProFund-Service Class,反向,1,XLV>0 且 XLC<0，买基金第二天,医疗上涨，通信服务下跌,避险/利率敏感资产走强（黄金、日元、国债等）；防御性板块走强，资金寻求低波动。
UXPSX,UltraShort International ProFund Service Class,国际,1,SLV>0 且 TIP<0 且 TLT<0，买基金后2日平均回报,白银上涨，通胀保护国债下跌，长期国债下跌,避险资产表现分化；贵金属走强，避险与抗通胀需求上升。
WCPIX,Communication Services UltraSector ProFund Investor Class,通信,1,GLD>0 且 XLK<0 且 XLV<0，买基金后2日平均回报,黄金上涨，科技下跌，医疗下跌,避险资产表现分化；贵金属走强，避险与抗通胀需求上升；板块轮动偏向价值/金融；防御性板块走弱，资金风险偏好上升。
WCPSX,Communication Services UltraSector ProFund Service Class,通信,1,GLD>0 且 XLK<0 且 XLV<0，买基金后2日平均回报,黄金上涨，科技下跌，医疗下跌,避险资产表现分化；贵金属走强，避险与抗通胀需求上升；板块轮动偏向价值/金融；防御性板块走弱，资金风险偏好上升。
