
06/17/2026,-0.363695,0.010991,-0.367710,-0.460358,-3.374498,-0.681004,0.555892,1.821248,0.000000,-0.814496,-1.030573,-0.873708,-0.998920,-4.063265,0.931393,-2.282209,-0.529041,-0.502202,-0.372326,-0.538525,-0.177216,-2.232945,-0.320711,1.050440,-0.639870,-0.027288,-0.304380,-3.675914,1.293831,1.435965,-0.038087,-0.439754,-0.041308,-0.312485,-0.219583,0.363652,-0.293339,-0.937155,-1.569859,-1.073872,-0.447920,-0.159285,-0.508571,-0.018126,-0.291911,-0.512312,-0.795124,2.992442,-1.327784,-2.777862,-2.231524,-2.507181,-0.787684,-0.903497,-0.337079,0.254407,0.814362
06/16/2026,0.121413,0.010883,0.149997,-0.407539,-0.022233,-1.133948,1.013977,-0.235532,-0.064711,-0.028498,0.085293,-0.028643,0.215204,2.288166,0.968027,0.295348,0.254569,0.127877,0.492368,0.190436,0.000000,-2.198305,-0.351188,-0.479326,0.000000,0.018165,0.024381,2.622244,-4.806058,-5.920917,0.576138,-0.087874,-0.571316,-1.040585,0.471352,1.592395,-1.677987,0.110375,0.314961,-4.735583,0.109016,0.186178,0.169755,0.492721,0.034405,0.170991,0.324034,-0.777082,0.419085,0.115908,0.128636,-0.092788,-1.077666,-0.751455,-0.168256,0.218539,1.044533
06/15/2026,0.091041,0.000000,0.081934,0.563525,4.466683,-1.155867,-0.218001,-0.234978,0.064753,0.300773,0.046559,-0.085854,0.056151,7.308651,-0.110629,2.613966,0.106254,0.110846,0.000000,0.148348,0.112047,-3.001144,0.740062,-0.433624,0.113023,0.009129,0.048786,6.451957,4.377702,5.450470,0.038321,0.039136,-0.041055,0.056333,0.060269,0.000000,0.131319,0.110497,0.315956,-3.364426,0.060656,-0.066448,0.101991,0.018402,0.068685,0.192898,0.250095,1.950788,0.613247,0.483655,-0.396111,1.689552,0.157697,-4.221630,-0.112045,0.255614,-0.268385
06/12/2026,-0.121274,0.032769,-0.122749,0.256805,3.378926,-1.039861,-0.387488,0.846310,0.000000,-0.014362,-0.093032,-0.157152,-0.046755,3.146023,-0.522257,0.075825,-0.169676,-0.119290,0.098571,-0.148129,-0.009297,0.537710,0.161397,0.610958,0.037944,0.027211,-0.024387,3.274707,1.724506,1.587928,-0.306398,-0.019564,0.327460,0.480706,-0.260318,-0.929536,0.900581,-0.055218,0.237530,-2.639137,-0.072709,-0.092941,-0.118791,-0.273261,-0.034417,-0.192526,0.476861,0.791043,1.874221,-0.419211,0.644998,0.257951,1.765973,1.181086,-0.446180,0.939919,-0.314548
06/11/2026,0.579776,0.010997,0.576131,0.724263,7.372548,-1.097017,1.927863,-1.270053,0.065122,0.706954,0.350090,-0.114019,0.309691,6.917707,2.075800,3.047272,0.693836,0.427957,1.056004,0.649564,0.224670,0.699896,0.812229,-1.291910,0.340353,0.018175,0.183052,6.504247,6.750626,8.387649,1.241195,0.107571,-1.212977,-2.588741,1.123654,3.831344,-3.698864,0.332410,0.079239,-4.072971,0.658818,1.182898,0.511956,1.235107,0.137684,0.580717,0.707920,3.019027,3.266201,0.999892,-0.257359,2.475979,5.265542,-2.726375,0.843645,-1.452960,2.104342
06/10/2026,-0.061003,0.010889,-0.082237,0.000000,-3.356638,0.343997,-0.565675,-0.033411,0.032408,-0.387979,-0.054455,0.056971,0.018801,-5.023106,-0.585394,-4.096416,-0.095972,-0.034266,-0.416666,0.021349,-0.205516,0.515746,-0.388200,0.215783,-0.151295,0.009042,0.000000,-4.537936,-3.400958,-3.669903,-0.270788,-0.039156,0.284009,0.777101,-0.202047,-1.041947,0.797064,-0.055371,0.000000,2.284844,-0.134019,-0.334868,-0.085139,-0.257393,0.017322,-0.021439,-0.327628,-1.925773,-2.304625,-0.421528,1.652768,-2.054054,-3.161077,2.401717,-0.336323,0.327988,-0.574906
06/09/2026,0.203688,0.000000,0.219734,0.729547,-1.414682,-1.357313,0.951765,-0.133467,-0.065101,-0.258081,0.327643,0.028565,0.103325,-2.037201,0.985461,-1.609732,0.277952,0.154263,0.598743,0.202745,0.093453,-2.107908,-0.258457,-0.557820,0.227073,0.009135,0.048887,-2.249265,-1.195332,-1.629192,0.505547,0.039171,-0.564406,-1.287769,0.466825,1.707538,-1.718323,0.000000,0.158730,-2.848687,0.219753,0.457592,0.187795,0.498917,0.086163,0.237042,0.303501,2.297045,1.621332,0.351078,1.239915,0.416028,-2.099674,-2.577331,-0.223714,0.255754,0.918767
06/08/2026,0.000000,0.011000,-0.027511,-0.363448,0.806053,0.821074,-0.927172,-0.199800,0.065143,0.028748,0.054585,-0.042686,0.122295,1.014017,-1.058786,0.196996,-0.106782,-0.017157,-0.673961,-0.042659,-0.028009,3.643598,0.193974,0.387479,-0.188615,0.009044,0.048788,0.378422,4.997455,5.869154,-0.425799,0.009744,0.567609,1.135974,-0.323732,-1.450622,1.539463,0.166389,0.079428,1.601263,-0.012186,-0.295310,-0.051222,-0.404900,0.000000,0.043216,-0.327546,-0.186551,-1.323318,-0.519392,-0.443372,0.461391,-0.008437,1.445874,-0.111732,0.000000,-0.973677
06/05/2026,-0.496588,0.043688,-0.450990,-0.874936,-10.618532,-2.175368,-0.547145,1.589986,0.000000,-1.245878,-0.643565,-0.284715,-0.802558,-10.107239,-0.333077,-3.630755,-0.531183,-0.383982,-0.689244,-0.498879,-0.205229,-5.528852,-1.087873,0.956965,-0.451245,0.027231,-0.207255,-10.438347,-9.217089,-10.444299,-0.539075,-0.234101,0.488783,1.149312,-0.623271,-1.570366,1.722820,-0.661157,-1.486698,-2.720491,-0.558427,-0.772227,-0.408102,-0.585447,-0.172030,-0.472265,-1.145651,-3.560228,-1.917838,-1.273129,1.706419,-2.046711,-7.811873,-2.941195,-0.278552,0.348304,-0.476554
06/04/2026,0.162425,0.000000,0.136846,0.103040,-0.033132,-1.353582,0.313680,-0.202566,-0.032398,0.084957,0.038764,-0.085341,0.186993,0.919913,0.362117,0.825458,0.127664,0.093958,0.157865,0.106282,0.168180,1.797226,0.063995,-0.217000,0.000000,0.009139,0.073268,1.177299,-1.625647,-2.104998,0.192731,-0.029254,-0.243796,-0.502193,0.181343,0.574242,-0.570994,0.110314,0.313972,-2.924890,0.133603,0.280372,0.136277,0.238434,0.051601,0.043030,0.249654,2.765170,-0.019441,0.918962,-0.146089,0.454000,0.093349,-0.064241,0.111545,0.000000,0.318608
06/03/2026,-0.212774,0.021904,-0.191328,-0.256937,-3.640881,0.564409,-0.483742,0.508992,0.032408,-0.717518,-0.347821,-0.410648,-0.289061,-4.397310,-0.499063,-0.983179,-0.254677,-0.128008,-0.490732,-0.233212,-0.084019,0.178883,-0.667786,0.479955,-0.150443,0.000000,-0.048821,-4.964148,0.900017,1.761935,-0.384368,0.000000,0.490394,0.758721,-0.381320,-1.135728,1.128727,-0.329852,-0.546448,2.615284,-0.218313,-0.346028,-0.187009,-0.401867,-0.034447,-0.150056,-0.718943,1.620249,0.213528,-1.311936,0.403366,-0.731279,-3.237250,1.350263,-0.111421,0.165259,-0.475798
06/02/2026,0.030405,-0.010896,0.027379,-0.102669,3.997326,0.433478,0.375877,-0.033921,0.000000,0.282187,0.046408,0.014167,-0.065220,0.896042,0.445651,0.177999,0.074300,-0.008499,0.117907,0.010573,0.149581,2.344326,0.127298,-0.087228,0.000000,0.018098,0.000000,0.623002,4.014412,5.785674,0.231232,-0.009717,-0.203880,-0.447455,0.191024,0.628737,-0.626061,-0.054945,0.078125,1.306273,-0.012107,0.040046,0.034060,0.238041,0.000000,-0.149831,0.223471,-4.385605,1.178388,-1.764548,-0.243909,-0.507736,4.213063,0.583833,-0.333148,0.018365,0.446135
06/01/2026,-0.049665,0.009796,-0.045108,0.154242,2.178355,1.729986,0.204068,0.717458,0.091087,-0.336077,-0.018622,-0.371214,-0.283309,-3.638193,0.422420,-1.427067,-0.172783,-0.120126,0.236370,-0.145028,0.046748,0.559474,-0.070029,0.261931,0.011456,0.010055,-0.057252,-2.389827,1.482644,0.500800,0.050074,0.025291,-0.081567,-0.055971,-0.019139,0.171478,-0.156205,-0.273973,-0.621118,4.965528,-0.071488,0.059836,-0.146124,-0.011070,-0.060202,-0.057743,-0.119026,-2.245965,-0.449769,-0.069157,-1.061348,-2.217200,1.797012,2.365951,-0.332042,0.833333,0.319686
05/29/2026,0.060614,0.032811,0.054489,-0.051387,-0.339231,-0.807537,-0.031483,-0.408302,0.000000,0.338204,0.201131,-0.014113,0.186055,3.884002,-0.222143,1.063956,0.116356,0.110473,0.038873,0.084422,0.130821,-0.577636,0.190533,-0.174170,0.037056,0.027157,0.048572,3.022628,-0.150043,-0.068482,0.038443,0.048325,-0.081501,0.139982,0.090208,0.000000,0.052183,0.109709,0.077700,-1.292247,0.132888,0.066334,0.101621,0.054829,0.051579,0.149321,-0.318316,0.514808,-0.408844,-0.840013,-1.800277,-0.974985,-0.980584,-0.587979,-0.220872,0.148368,-0.143693
05/28/2026,0.202454,0.010902,0.191075,0.102881,2.729771,0.779925,0.790737,-0.101971,0.032448,0.282562,0.092916,0.339711,0.177047,2.016702,0.755433,1.027111,0.233255,0.110681,0.507716,0.349687,0.130993,-1.139755,0.350427,-0.348002,0.261603,0.009053,0.048718,2.512643,0.727120,0.973440,0.463066,0.154640,-0.485815,-1.244166,0.402277,1.451886,-1.438300,0.219901,0.625489,-0.190796,0.169517,0.439755,0.135850,0.476519,0.051432,0.257008,1.089602,1.145415,0.351839,0.352713,-0.177387,0.419592,2.880091,0.979434,0.165929,-0.369549,0.836772
05/27/2026,0.081047,0.010903,0.095629,0.257865,-1.622683,-1.798202,0.269485,-0.033979,0.000000,-0.338013,-0.139180,-0.155382,-0.037244,-3.514487,0.506362,-1.273435,0.042428,0.034041,0.078202,0.052936,0.225050,-3.984747,0.159480,-0.130113,0.112351,0.018110,0.012150,-2.824870,-1.102734,-1.071778,0.232266,0.048324,-0.202149,-0.220641,0.181368,0.672197,-0.789754,0.000000,-0.078125,-4.357664,0.072738,0.280666,0.033931,0.202219,0.017147,-0.021413,-0.345688,0.824881,0.372440,0.614402,1.136012,1.758122,0.212049,-1.649647,-0.275786,0.240785,0.420144
05/26/2026,0.284473,0.021810,0.287712,0.103252,4.990989,-1.669941,0.766887,-0.338639,0.032459,0.523815,0.077382,0.042434,0.233437,4.515320,0.708358,0.000000,0.426087,0.256134,0.748483,0.265815,0.452136,-0.173439,0.319981,-0.732483,0.338193,0.009056,0.109595,3.654447,4.480150,6.096821,0.544512,0.125839,-0.402670,-1.226198,0.516583,1.543588,-1.406617,0.055006,0.234926,-2.781720,0.389241,0.483292,0.340466,0.572559,0.102988,0.343564,0.546009,1.283577,1.391941,0.077978,-1.379790,0.226495,4.766305,-3.402113,-0.165198,0.204157,0.814627
05/22/2026,0.101598,0.021815,0.095857,-0.103146,0.397516,-0.521173,0.772813,0.203597,0.000000,-0.338633,0.054158,-0.253955,-0.121296,-0.525800,0.943730,-0.725740,0.085290,-0.017061,0.693868,0.191615,0.084764,-0.262845,0.353353,-0.128993,0.037334,0.018206,-0.024321,-1.420843,1.486229,2.405136,0.390343,-0.038712,-0.520665,-0.676612,0.396613,1.414876,-1.411684,-0.054975,-0.156372,-1.136523,0.097374,0.404441,-0.034035,0.408227,-0.017162,0.150413,0.273624,-0.843499,0.539795,-0.551215,0.165444,0.404427,1.464774,0.761758,-0.274574,0.335196,0.788287
05/21/2026,0.122190,0.000000,0.109830,0.258532,0.862599,-0.582902,0.697193,0.374659,0.032469,-0.028176,-0.023183,-0.267207,-0.074516,-1.023198,0.807008,-0.116918,0.064008,0.017064,0.398252,0.149317,0.141601,-1.310305,0.064525,-0.086066,0.037734,0.009058,-0.012159,-0.223237,0.570255,0.845667,0.352905,-0.077365,-0.438538,-0.805395,0.254871,1.126319,-1.053527,-0.054945,0.000000,-1.199141,0.060927,0.338174,0.051079,0.334831,-0.017159,0.064598,0.224447,0.812429,0.603414,0.000000,-1.005643,0.644320,1.934798,-2.335031,-0.219178,0.205262,0.811111
05/20/2026,0.604397,0.021820,0.552183,0.572023,3.704116,-2.309396,1.530846,-0.710179,0.032480,0.710260,0.294933,0.056315,0.214765,2.783318,1.581366,1.435009,0.676637,0.402881,0.701727,0.730644,0.246121,0.004434,0.452077,-1.357082,0.226141,0.018120,0.134053,3.572615,3.805427,4.744935,0.989188,0.009647,-1.026126,-2.205218,0.988311,3.139582,-3.316834,0.275482,0.156617,-5.681224,0.674466,1.093855,0.444823,1.015262,0.154841,0.802659,1.007678,3.880372,1.386691,0.215752,-0.662130,2.529852,2.787867,-2.144926,0.385039,-0.223422,1.614684
05/19/2026,-0.387763,0.021935,-0.330216,-0.465839,-3.029932,0.732951,-0.945747,0.818275,0.000000,-0.886982,-0.209135,-0.098455,-0.399944,-4.477353,-1.014463,-1.679104,-0.385160,-0.230932,-0.578053,-0.438540,-0.386570,-0.638879,-0.610046,0.812435,-0.338065,0.009061,-0.073122,-4.546931,-0.402812,0.175452,-0.668296,-0.154506,0.715508,1.573223,-0.603715,-2.060187,2.129245,-0.384193,-0.777001,2.458303,-0.439591,-0.598043,-0.273056,-0.616518,-0.086026,-0.475031,-0.725122,-0.689248,-2.349654,-0.966004,0.221198,-1.109066,-2.729452,1.333614,-0.328947,0.280060,-1.097886
05/18/2026,-0.010203,0.000000,-0.068748,0.363636,-1.444870,0.609170,-0.227696,-0.407470,0.032490,0.339064,0.851518,0.098552,0.242454,-0.773395,-0.375520,0.292363,-0.042777,-0.008546,-0.258401,-0.085559,-0.037617,3.041860,-0.223994,0.171468,-0.074941,0.009061,0.048813,-1.080747,-1.829816,-2.487612,-0.039319,-0.009631,0.199170,0.214012,-0.102188,-0.489416,0.437299,0.385675,0.546875,0.715105,-0.121987,-0.325120,0.000000,-0.111986,0.034526,-0.043186,0.704964,-2.310783,-0.159042,0.775358,1.488636,-0.180226,-2.059025,1.194536,-0.164204,-0.018667,-0.248914
05/15/2026,-0.628524,0.021829,-0.574028,-0.824317,-7.082163,0.128411,-2.148973,0.890716,0.032501,-0.979148,-0.628770,-0.210737,-0.417846,-7.400334,-2.175189,-2.318940,-0.795692,-0.434206,-1.003847,-0.742545,-0.506293,-0.206148,-1.171020,1.654141,-0.411056,0.036350,-0.121700,-7.549553,-3.803991,-4.058263,-1.470985,-0.048230,1.577797,3.113573,-1.321509,-4.388786,4.468223,-0.438837,-0.928793,3.657343,-0.557789,-0.952728,-0.509052,-1.398587,-0.120264,-0.728378,-1.610477,-3.084967,-2.651450,-0.879492,-0.400027,-1.803283,-4.447365,2.901516,-0.490196,0.582050,-2.428845
05/14/2026,-0.030408,0.021834,-0.027334,-0.154321,-2.752659,-0.701307,0.367413,0.794199,0.000000,-0.459439,-0.938172,-0.126283,-0.314694,-2.536063,0.368706,-0.737045,-0.063615,-0.102001,-0.039355,-0.084744,0.018717,0.909818,0.063564,0.174609,-0.074577,0.009066,-0.036583,-3.449595,1.027146,0.329369,0.193688,-0.106073,-0.282519,-0.438862,0.070677,0.381891,-0.404605,-0.436920,-0.691776,0.675866,-0.121160,0.040167,-0.101707,0.110542,-0.034300,-0.021431,-0.370292,-0.736092,-0.749237,0.299767,0.306883,-0.042115,-1.921534,0.522807,-0.595560,0.756716,0.619097
05/13/2026,0.040561,0.000000,0.041017,0.000000,1.255878,-1.009782,-0.445251,0.485774,0.065044,0.125395,-0.115274,-0.056094,-0.276919,-0.716101,-0.578005,-0.586180,0.000000,0.042519,-0.039340,0.137967,-0.074999,0.048029,0.031471,0.043452,0.037494,0.000000,0.036596,-0.087551,1.997327,2.383755,-0.231965,0.009617,0.283320,0.440796,-0.100910,-0.728759,0.661899,-0.163577,-0.611154,-1.566182,0.084933,-0.013342,0.016954,-0.184021,0.017153,0.107270,0.148336,0.696777,-0.153429,0.776743,0.331632,0.363475,-0.210338,-0.824808,-0.538503,0.227531,-0.615288
05/12/2026,-0.293202,0.010918,-0.299893,-0.511771,3.630515,2.028332,-0.992115,0.769231,-0.032511,-0.041828,-0.565127,-0.139899,-0.312841,0.285714,-1.101177,-0.392993,-0.338132,-0.229246,-0.625295,-0.475356,-0.205682,1.412501,-0.347219,0.703211,-0.261010,0.009066,-0.073016,0.745411,-2.613177,-3.147751,-0.577149,0.019337,0.774497,1.368874,-0.611389,-1.888074,2.184554,-0.380228,-0.380518,4.067503,-0.265995,-0.467624,-0.236965,-0.621304,-0.034294,-0.384472,-0.491938,0.118706,-0.229519,0.242279,1.283403,-0.904706,-0.754812,0.640322,-0.428954,0.533740,-1.025620
05/11/2026,-0.262080,0.021841,-0.244766,-0.153296,1.884480,2.508251,-0.827833,-0.104785,0.032522,0.013991,-0.038218,0.014006,-0.027561,2.908455,-0.911662,0.213795,-0.336993,-0.211742,-0.582785,-0.252840,-0.056055,2.449862,-0.125928,0.707742,-0.037001,0.000000,-0.097219,4.843671,1.724503,2.394775,-0.573837,0.086843,0.532830,1.244214,-0.488719,-1.770055,1.665842,0.000000,-0.151976,3.795194,-0.217170,-0.359415,-0.219398,-0.545274,-0.102949,-0.276846,-0.220921,0.029723,1.298694,-1.163014,-0.962202,-0.690558,2.968214,2.119139,-0.639318,0.748992,-0.968113
05/08/2026,0.232367,0.021956,0.259033,0.051125,4.067280,0.165289,0.691871,-0.728155,0.065086,0.363687,0.475607,-0.195699,0.406392,2.793661,0.695551,0.463486,0.263970,0.152711,0.507617,0.348841,0.009328,0.754148,0.634277,-0.484162,0.298804,0.036279,0.085154,3.172433,4.895390,5.674702,0.422488,0.183749,-0.326792,-0.868994,0.420650,1.251818,-1.124299,0.326975,0.997698,-1.022449,0.351046,0.562249,0.152122,0.419768,0.068738,0.406364,0.518153,0.785598,0.369665,-0.374801,0.238126,0.266964,0.365116,-0.541966,0.213561,-0.210809,0.848267
05/07/2026,-0.241990,0.021851,-0.258364,0.204918,-1.148799,0.132406,-0.810992,0.208478,-0.065044,-0.265110,-0.191402,-0.181251,-0.119987,-0.268839,-0.608372,0.181200,-0.305271,-0.160931,-0.292016,-0.232021,0.000000,-3.444370,-0.284485,0.843373,-0.111974,0.009070,-0.085082,-0.454153,-1.757130,-2.862665,-0.458817,-0.048300,0.451315,1.076771,-0.438781,-1.485530,1.378264,-0.163221,-0.458365,0.761478,-0.325834,-0.506178,-0.185582,-0.435957,-0.085805,-0.341001,-0.098683,-2.919844,-1.927231,0.025546,-0.308632,0.008359,-2.924104,-1.931110,-0.478215,0.753041,-0.762333
05/06/2026,0.425283,-0.010924,0.423326,0.774393,6.853413,-3.173077,1.087973,-0.792830,0.032533,0.801564,0.345746,-0.083649,0.482076,8.474726,0.949083,3.045863,0.497209,0.305864,0.469379,0.519507,0.206104,-1.840254,0.508681,-1.141106,0.112099,0.018144,0.133808,9.608746,5.178978,5.000716,0.770849,-0.067634,-0.773552,-1.644258,0.783978,2.293597,-2.304455,0.492072,0.769823,-7.088853,0.436341,0.616541,0.372546,0.768930,0.137373,0.514022,0.520335,2.907553,1.707897,1.487471,0.214061,1.524502,4.424628,-6.235129,1.950163,-1.838514,0.913613
05/05/2026,0.182597,0.010925,0.177840,0.155119,2.035203,-0.414938,0.842678,0.000000,0.032543,0.154962,0.030746,-0.055735,-0.018574,0.061898,1.100526,0.847358,0.148325,0.050975,0.451948,0.169956,0.074926,-0.633582,0.607771,-0.349847,-0.074932,0.000000,0.048760,-0.598408,3.137394,4.473447,0.464501,-0.115767,-0.486419,-1.020779,0.413725,1.395420,-1.454549,-0.109230,-0.076923,-2.330465,0.169990,0.647345,0.050999,0.459943,0.034312,0.193294,0.497940,0.217217,1.737371,-0.404754,0.622557,0.297312,1.641598,-0.232003,-1.177730,0.995406,0.971001
05/04/2026,-0.313487,0.021856,-0.340834,-0.360639,-3.036088,1.687764,-1.054162,0.241880,0.032554,-0.434711,-0.237676,-0.125246,-0.194274,-1.984746,-1.336392,-2.017989,-0.369442,-0.228946,-0.760387,-0.370315,-0.112309,-0.274324,-0.477697,0.793514,-0.223150,0.018239,-0.121567,-1.996208,-0.594327,-0.792260,-0.653902,-0.009721,0.652516,1.341895,-0.661618,-2.077965,2.163704,-0.163577,-0.306748,3.368347,-0.254276,-0.496574,-0.253664,-0.676099,-0.102829,-0.427489,-0.888480,2.361617,-1.363209,-0.531193,-0.748535,-0.767099,-1.349523,2.456539,0.107181,0.019146,-1.120092
05/01/2026,0.131635,0.032905,0.139281,0.154799,-0.703425,-0.932476,0.681180,0.555942,-0.016439,0.054791,-0.175252,-0.073702,-0.097968,-0.825168,0.876152,-0.149683,0.076079,0.033917,0.746515,0.058223,-0.029060,-0.783063,0.319590,-0.219960,0.321066,0.025395,0.015704,0.101630,0.611778,0.934021,0.308461,0.073455,-0.284816,-0.583566,0.280422,0.890235,-0.903988,-0.217628,-0.229533,-2.916582,0.067845,0.305572,0.096540,0.311749,0.032556,0.087778,0.518682,-0.692905,-0.233237,0.180195,-0.166012,0.236635,-0.143196,-0.864155,-0.797448,0.752315,0.627902
04/30/2026,0.141449,0.010822,0.149848,0.727651,2.418584,0.064350,-0.378724,-1.099656,0.097411,1.162567,0.909772,0.713990,0.501228,2.484144,-0.556225,1.519579,0.189863,0.160935,0.272999,0.179701,0.084137,0.551842,0.898119,-0.219477,0.149083,0.018155,0.109313,2.475643,1.429201,2.544509,-0.038202,0.134585,0.122506,0.278716,0.050170,-0.314998,0.388893,0.878156,1.082753,-2.350129,0.241905,0.067085,0.101256,-0.036521,0.085619,0.213631,0.994320,1.885169,1.000784,1.058171,1.676288,1.292369,3.594816,0.275709,4.791086,-4.845815,-0.305026
04/29/2026,-0.442660,0.000000,-0.447670,-0.824742,-1.219915,2.439024,-1.154201,0.622407,-0.032241,-0.871355,-0.299768,0.028018,-0.286920,-2.749936,-1.099935,-1.052510,-0.472414,-0.337712,-0.908074,-0.494296,-0.242379,0.946558,-0.383386,0.975207,-0.297280,0.000000,-0.133332,-3.115814,1.703956,2.571164,-0.762851,-0.096025,0.820796,1.671746,-0.746021,-2.266392,2.254112,-0.273673,-0.767460,7.901146,-0.457601,-0.732262,-0.353314,-0.778814,-0.136734,-0.404387,-0.568560,-1.723098,-0.855913,-0.397403,-0.192589,-0.145319,-2.101376,3.536269,-0.828729,0.776915,-1.064114
04/28/2026,-0.040161,0.010934,-0.027078,-0.051520,-3.684203,0.830841,0.281555,0.416667,0.000000,-0.042215,-0.099823,-0.362779,-0.027738,-3.910109,0.386423,-1.828091,-0.094394,-0.109657,0.116072,0.021022,-0.102386,0.498396,-0.635134,0.222110,0.000000,0.009079,-0.060557,-4.781289,-2.972781,-3.667010,0.038312,-0.009631,-0.082136,-0.056700,-0.049771,0.140132,-0.211724,-0.163934,-0.229709,3.622328,-0.060194,0.160027,-0.117633,0.072526,-0.068320,-0.042492,-0.394061,-1.413067,-0.733904,-0.051771,0.898712,-0.704303,-2.603944,1.280377,-0.165472,0.315457,0.382706
04/27/2026,-0.150631,0.010935,-0.162480,-0.051493,-0.813366,0.770261,-0.714441,0.069493,0.097145,0.423229,-0.023114,0.251884,-0.083144,-1.834343,-0.767195,-0.766197,-0.230244,-0.101100,-0.462141,-0.178531,0.037279,0.496295,-0.095309,0.446202,0.000000,0.008988,-0.024266,-1.233174,-0.035542,-1.340996,-0.418128,0.067266,0.536124,0.914635,-0.356607,-1.354136,1.449518,0.109409,0.230238,1.752266,-0.204143,-0.424880,-0.117495,-0.450969,-0.017120,-0.212225,-0.270106,-0.180099,-0.269687,0.233686,-1.069365,-0.716227,2.054639,0.850922,0.000000,0.260465,-0.837941
04/24/2026,0.140752,0.021875,0.176239,0.103093,-0.109150,-0.100368,0.124343,-0.724388,0.032612,0.254584,0.532588,0.196154,0.315308,1.434426,-0.163990,0.464116,0.199248,0.168785,-0.134509,0.157795,0.037199,2.763937,0.095399,-0.267274,0.148861,0.027246,0.109071,0.721877,5.103248,4.671197,0.190350,0.202207,-0.082094,-0.256679,0.238271,0.304762,-0.240959,0.274273,0.462606,-1.722090,0.132282,-0.026641,0.168107,0.198850,0.119639,0.276699,0.197012,-0.899685,0.212333,-1.575944,-0.299500,0.806939,0.119003,-0.890519,0.110436,-0.462963,-0.110685
04/23/2026,-0.160573,0.021769,-0.175929,-0.308325,-2.874043,1.287699,-0.325477,0.450450,0.000000,-0.338297,-0.269413,-0.153993,-0.157452,-2.966675,-0.163999,-0.953022,-0.157132,-0.117967,0.327881,-0.220469,0.018650,1.840638,-0.063344,0.312570,0.186712,0.009083,-0.048439,-3.026820,1.052786,2.137708,-0.228053,0.115723,0.206073,0.516008,-0.217931,-0.578704,0.728415,-0.164294,-0.460476,4.111283,-0.204118,-0.357088,-0.134373,-0.216558,-0.034097,-0.170004,-0.294395,-2.053722,-0.038538,-0.415653,1.668543,-1.000645,-3.423325,0.772638,-0.330215,0.278552,-0.173403
04/22/2026,0.140724,0.000000,0.108392,0.051414,4.210158,1.027046,0.326539,0.312826,0.097601,0.367836,0.169639,0.000000,-0.203271,2.653494,0.494149,1.306224,0.104829,0.084321,0.348485,0.231436,0.065318,2.249143,0.864163,-0.177973,0.149362,0.018077,0.048463,3.121296,2.619119,2.631342,0.190277,0.077209,-0.164670,-0.314379,0.198503,0.582073,-0.696382,-0.054735,-0.153257,0.896686,0.108215,0.291910,0.067232,0.217028,0.000000,0.170293,0.443424,0.674538,0.115943,0.614517,0.329863,-0.033605,3.782852,1.975758,0.000000,-0.074225,0.316349
04/21/2026,-0.370659,0.010941,-0.310744,-0.409626,-5.542015,1.883502,-0.618031,1.089248,0.000000,-0.646579,-0.338132,-0.167572,-0.523947,-6.901794,-0.654369,-2.793419,-0.438206,-0.327919,-0.328146,-0.408591,-0.167584,2.408582,-0.636144,0.853607,-0.223733,0.009085,-0.145176,-5.289036,0.150875,0.754400,-0.529799,-0.057923,0.538791,0.951530,-0.611805,-1.662916,1.744304,-0.435967,-0.986343,5.712166,-0.335365,-0.488444,-0.334863,-0.575229,-0.119628,-0.465963,-0.709394,-1.016092,-0.880747,-1.338969,-0.667544,-0.750805,-1.535194,2.414483,-0.872886,1.125915,-0.566046
04/20/2026,-0.009948,0.010942,-0.067472,-0.153374,-1.078086,1.343231,0.030864,-0.245356,0.065000,0.126736,0.107746,0.350483,0.128825,-1.171875,0.000000,-0.843004,-0.093813,-0.083974,-0.173269,-0.094169,0.046599,-0.424268,-0.063445,0.225211,-0.037147,0.000000,-0.048491,-1.515159,-0.043089,0.442610,-0.075574,-0.009570,0.000000,-0.028712,-0.029549,-0.027263,0.081810,0.000000,0.304414,4.550155,0.023987,0.000000,-0.066962,-0.017887,-0.016939,-0.105798,0.122337,-0.634573,0.674642,-0.293877,-0.084868,-0.448446,1.360539,0.889239,-0.380435,2.382325,-0.031526
